tag,near_synonyms
emoji_censor,"censored, emoji"
emoticon,kaomoji
employee_uniform,fast_food_uniform
empty_pool,pool
enema,"alcohol_enema, milk_enema"
energy_barrier,energy_shield
energy_gun,"weapon, beam_rifle, holding_energy_gun, laser_rifle, plasma_pistol, plasma_rifle, ray_gun"
energy_sword,"sword, lightsaber"
english_flag_bikini,flag_print_bikini
engrish_text,"english_text, ranguage"
engulfing_dream_(e.g.o),e.g.o_(project_moon)
entrails,organs
envelope,"holding_envelope, manila_envelope"
epaulettes,single_epaulette
erection_under_clothes,"bulge, erection"
ermine,weasel
ero_guro,guro
esp_stream-miku-custom,electric_guitar
euphonium,instrument
everlasting_(e.g.o),e.g.o_(project_moon)
evil_grin,"evil_smile, grin"
evil_smile,"smile, evil_grin"
evolution_stone,"dawn_stone, dusk_stone, fire_stone, ice_stone, leaf_stone, moon_stone, shiny_stone_(pokemon), sun_stone_(pokemon), thunder_stone, water_stone"
exercising,"push-ups, sit-up, weightlifting"
explosion,"explosion_background, nuclear_explosion"
explosive,"bomb, c4, dynamite, grenade, mine_(weapon), tnt"
expressions_and_speeches_after_declaration_of_love,multiple_drawing_challenge
expressions_of_your_wife_being_loved_practice,multiple_drawing_challenge
extended_range_bass_guitar,"bass_guitar, 5-string_bass_guitar, 6-string_bass_guitar"
extended_range_guitar,"guitar, 7-string_guitar, 8-string_guitar"
extended_upskirt,upskirt
extra_ears,implied_extra_ears
extra_eyes,triclops
extreme_gaping,gaping
eye_chart,landolt_c
eye_contact,looking_at_another
eye_mask,"mask, domino_mask, half_eye_mask"
eye_trail,light_trail
eyed_silhouette,silhouette
eyeliner,"makeup, aqua_eyeliner, black_eyeliner, blue_eyeliner, brown_eyeliner, green_eyeliner, orange_eyeliner, pink_eyeliner, purple_eyeliner, red_eyeliner, white_eyeliner, yellow_eyeliner"
eyepatch,"colored_eyepatch, flower_eyepatch, heart_eyepatch, medical_eyepatch, no_eyepatch, print_eyepatch, unworn_eyepatch, eyepatch_lift, eyepatch_pull, frilled_eyepatch"
eyes_out_of_frame,head_out_of_frame
eyeshadow,"makeup, aqua_eyeshadow, black_eyeshadow, blue_eyeshadow, eyeshadow_under_eye, green_eyeshadow, grey_eyeshadow, orange_eyeshadow, pink_eyeshadow, purple_eyeshadow, red_eyeshadow, smokey_eyeshadow, yellow_eyeshadow"
fabarm_fp6/sdass,"pump_action, shotgun"
face_piercing,"piercing, anti-eyebrow_piercing, bridge_piercing, cheek_piercing, chin_piercing, dahlia_(piercing), eyebrow_piercing, eyelid_piercing, forehead_piercing, labret_piercing, lip_piercing, mouth_piercing, nose_piercing"
face_punch,"in_the_face, punching"
face_to_breasts,"breasts, breast_smother"
faceless,"faceless_female, faceless_male"
facial,"cum, cum_on_body, autofacial, happy_facial"
facial_hair,"alternate_facial_hair, fake_facial_hair, beard, black_facial_hair, blonde_facial_hair, blue_facial_hair, braided_beard, brown_facial_hair, goatee, grey_facial_hair, mustache, mutton_chops, purple_facial_hair, red_facial_hair, soul_patch, stubble, white_facial_hair"
facial_mark,"circle_facial_mark, club_facial_mark, crescent_facial_mark, cross_facial_mark, diamond_facial_mark, flower_facial_mark, forehead_mark, heart_facial_mark, lightning_bolt_facial_mark, spade_facial_mark, star_facial_mark, teardrop_facial_mark, triangle_facial_mark, whisker_markings, x_facial_mark"
faded_memories_(e.g.o),e.g.o_(project_moon)
faint_aroma_(e.g.o),e.g.o_(project_moon)
fairy_kei,"fairy, yume_kawaii"
fake_animal_ears,"animal_ears, animal_ear_hairband, animal_ear_headband, animal_ear_headphones"
fake_beard,"beard, fake_facial_hair"
fake_censor,censored
fake_cover,"cover, fake_magazine_cover"
fake_facial_hair,"facial_hair, fake_beard, fake_mustache"
fake_horns,"horns, horn_hairband, horned_headwear, horned_helmet"
fake_magazine_cover,"fake_cover, magazine_cover"
fake_mustache,"mustache, fake_facial_hair"
fake_phone_screenshot,fake_screenshot
falcon,"bird, peregrine_falcon"
famas,"assault_rifle, bullpup"
familiar,familiar_(madoka_magica)
fang,"skin_fang, fang_out"
fangs,"skin_fangs, fangs_out"
farmwatch_(e.g.o),e.g.o_(project_moon)
faroese_flag_bikini,flag_print_bikini
fashion,"cyber_fashion, goth_fashion, lolita_fashion, ouji_fashion, y2k_fashion, yabi_fashion"
fast_ball,poke_ball
fat,"fat_man, fat_mons, fat_rolls, obese"
father_and_child,"parent_and_child, father_and_daughter, father_and_son"
father_and_son,"father_and_child, father_and_son_threesome"
fatui_coat,coat
faux_cyrillic,faux_text
fawn,"baby_animal, deer"
fdd_threesome,"futa_with_female, threesome"
feather-trimmed_coat,coat
feather-trimmed_dress,dress
feather_dress,dress
feather_earrings,"earrings, feathers"
feather_hair_ornament,"hair_ornament, feathers"
feather_of_honor_(e.g.o),e.g.o_(project_moon)
feathers,"peacock_feathers, wings, black_feathers, blue_feathers, brown_feathers, falling_feathers, feather_earrings, feather_hair_ornament, green_feathers, holding_feather, pink_feathers, purple_feathers, red_feathers, white_feathers, yellow_feathers"
fedora,hat
feeding,"force-feeding, mutual_feeding"
feet,"animal_feet, cum_on_feet, dirty_feet, hands_on_feet, no_feet, soaking_feet, feet_only, feet_up, knees_apart_feet_together, knees_together_feet_apart, sweaty_feet, tickling_feet, webbed_feet, foot_focus"
fell_bullet_(e.g.o),e.g.o_(project_moon)
fellatio,"oral, autofellatio, cleanup_fellatio, cooperative_fellatio, deepthroat, fellatio_under_mask, irrumatio, licking_penis, multiple_penis_fellatio, reverse_fellatio, simulated_fellatio, stealth_fellatio, sword-swallowing_fellatio, tonguejob"
fellatio_under_mask,"mask, fellatio"
female_goblin,goblin
female_pervert,pervert
fence,"against_fence, bamboo_fence, chain-link_fence, iron_fence, wooden_fence"
ferret_ears,animal_ears
fez_hat,hat
ffd_threesome,"futa_with_female, threesome"
fff_threesome,"threesome, yuri"
field_cap,hat
fiery_tail,"tail, fire"
fighter_jet,"airplane, military_vehicle"
fighting_stance,"gatotsu_stance, ox_guard, ready_to_draw"
figure_skating_dress,dress
figy_berry,berry_(pokemon)
film_grain,heavy_film_grain
finch,bird
finger_frame,"finger_frame_duo, finger_frame_over_eye"
finger_gun,"bang_(gesture), double_finger_gun, finger_gun_to_another's_head, finger_gun_to_own_head"
finger_gun_to_own_head,"gun_to_own_head, finger_gun"
finger_in_navel,poking_belly
finger_to_mouth,"pinky_to_mouth, shushing"
fingering,"anal_fingering, fingering_from_behind, fingering_through_clothes, mutual_fingering, nursing_fingering"
fingering_through_clothes,"through_clothes, fingering, fingering_through_panties"
fingering_through_panties,"panties, fingering_through_clothes"
fingerless_gloves,"gloves, partially_fingerless_gloves, mma_gloves, single_fingerless_glove"
fingernails,"long_fingernails, sharp_fingernails, very_long_fingernails"
fins,"head_fins, fish_tail"
fire,"black_fire, blue_fire, breathing_fire, fiery_background, fiery_tail, flame-tipped_tail, flaming_halo, flaming_skull, flaming_weapon, green_fire, pink_fire, purple_fire, pyrokinesis, white_fire"
firelock,"antique_firearm, caplock, flintlock, jezail, matchlock"
fireworks,"aerial_fireworks, firecrackers, holding_fireworks, skyrocket, sparkler"
firing,"firing_at_viewer, muzzle_flash"
fish,"bagged_fish, school_of_fish, stuffed_fish, tropical_fish, fish_(food), fish_hook, angelfish, anglerfish, catfish, clownfish, flying_fish, goldfish, holding_fish, oarfish, ocean_sunfish, puffer_fish, saury, seahorse, surgeonfish, swordfish"
fish_(food),"fish, fish_and_chips, fried_fish, grilled_eel, grilled_fish, ikura_(food), nigirizushi, sashimi"
fish_earrings,earrings
fish_print,"animal_print, goldfish_print, whale_print"
fish_tail,"tail, fins, cetacean_tail, shark_tail"
fish_tattoo,tattoo
fishing_rod,"fishing, holding_fishing_rod"
fishnet_bodystocking,"bodystocking, fishnets"
fishnet_gloves,"gloves, fishnets"
fishnet_hiphighs,"fishnets, hiphighs"
fishnet_leotard,"fishnets, leotard"
fishnet_pantyhose,"pantyhose, fishnets"
fishnet_socks,"socks, fishnets"
fishnet_thighhighs,"thighhighs, fishnets"
fishnets,"fishnet_bodystocking, fishnet_gloves, fishnet_hiphighs, fishnet_leotard, fishnet_pantyhose, fishnet_sleeves, fishnet_socks, fishnet_thighhighs, fishnet_top"
fisting,"anal_fisting, double_fisting"
flag,"checkered_flag, flag_on_vehicle, holding_flag, war_flag, white_flag"
flag_print,"american_flag_print, brazilian_flag_print, argentinian_flag_print, australian_flag_print, canadian_flag_print, flag_print_bikini, french_flag_print, german_flag_print, italian_flag_print, japanese_flag_print, mexican_flag_print, swedish_flag_print"
flag_print_bikini,"bikini, print_bikini, flag_print, american_flag_bikini, argentinian_flag_bikini, australian_flag_bikini, brazilian_flag_bikini, canadian_flag_bikini, confederate_flag_bikini, finnish_flag_bikini, french_flag_bikini, german_flag_bikini, italian_flag_bikini, japanese_flag_bikini, mexican_flag_bikini, puerto_rican_flag_bikini, russian_flag_bikini, swedish_flag_bikini"
flags_of_all_nations,string_of_flags
flail,"weapon, holding_flail"
flame-tipped_tail,"tail, fire"
flamethrower,"weapon, holding_flamethrower"
flaming_halo,"fire, halo"
flaming_skull,"skull, fire"
flaming_sword,"flaming_weapon, sword"
flaming_weapon,"fire, weapon, flaming_sword"
flamingo,bird
flapper_shirt,shirt
flashing,oppai_challenge
flask,"erlenmeyer_flask, holding_flask, in_flask, round-bottom_flask, volumetric_flask"
flat_cap,hat
flat_chest,"flat_chest_grab, grabbing_own_flat_chest"
flat_screen_tv,television
flexing,"double_biceps_pose, side_chest_pose"
flick,forehead_flick
flight_suit,"suit, g-suit"
flipping_food,food
floating,"floating_object, levitation"
floating_book,"book, floating_object"
floating_breasts,breasts
floating_clothes,floating_jacket
floating_hair,hair_floating_upwards
floating_headgear,headgear
floating_object,"floating, floating_book, floating_weapon"
floating_sword,"floating_weapon, sword"
floating_weapon,"floating_object, floating_sword"
floral_background,rose_background
floral_print,"camellia_print, cherry_blossom_print, chrysanthemum_print, floral_print_bikini, floral_print_dress, floral_print_kimono, floral_print_panties, floral_print_shirt, floral_print_skirt, hibiscus_print, morning_glory_print, peony_print, rose_print, spider_lily_print, sunflower_print"
floral_print_bikini,"bikini, print_bikini, floral_print"
floral_print_dress,"dress, print_dress, floral_print"
floral_print_kimono,"kimono, print_kimono, floral_print"
floral_print_panties,"floral_print, print_panties"
floral_print_pantyhose,"floral_print, print_pantyhose"
floral_print_shirt,"shirt, print_shirt, floral_print"
floral_print_skirt,"skirt, print_skirt, floral_print"
florida_bikini,bikini
flower,"daisy_(flower), dress_flower, flower_field, hair_flower, hat_flower, hibiscus, holding_flower, hydrangea, lily_(flower), lotus, plum_blossoms, rose, spider_lily, sunflower, tulip"
flower-trimmed_dress,dress
flower_facial_mark,"facial_mark, flower_symbol"
flower_field,"field, flower, sunflower_field"
flower_focus,flower
flower_in_braid,"braid, hair_flower"
flower_in_mouth,flower
flower_necklace,"necklace, flower, lei"
flower_on_head,"on_head, flower"
flower_over_eye,flower
flower_over_mouth,flower
fluid_sac_(e.g.o),e.g.o_(project_moon)
flute,"instrument, holding_flute, playing_flute, recorder, shakuhachi, transverse_flute"
flying_kick,"kicking, dropkick"
flying_sweatdrops,spoken_flying_sweatdrops
fn_f2000,"assault_rifle, bullpup"
fn_fnc,"assault_rifle, ak_5"
fn_fnx,handgun
fn_model_1903,handgun
fn_model_1910,handgun
fn_p90,"bullpup, submachine_gun"
foal,baby_animal
folding_chair,"chair, camping_chair, deck_chair, director's_chair"
folding_fan,"hand_fan, folded_fan"
folding_knife,"knife, switchblade"
food,"bread, burger, cake, candy, cookie, donut, food_on_face, fruit, holding_food, ice_cream, meat, noodles, pocky, popsicle, wagashi"
food-themed_earrings,"earrings, apple_earrings, banana_earrings, candy_cane_earrings, carrot_earrings, cheese_earrings, cherry_earrings, dango_earrings, donut_earrings, lemon_earrings, orange-shaped_earrings, pineapple_earrings, pumpkin_earrings, red_pepper_earrings, strawberry_earrings, tako-san_wiener_earrings"
food-themed_hair_ornament,"hair_ornament, apple_hair_ornament, burger_hair_ornament, cake_hair_ornament, candy_hair_ornament, carrot_hair_ornament, cherry_hair_ornament, egg_hair_ornament, fruit_hair_ornament, grape_hair_ornament, ice_cream_hair_ornament, lemon_hair_ornament, macaron_hair_ornament, pumpkin_hair_ornament, strawberry_hair_ornament, watermelon_hair_ornament"
food_art,"food, apple_rabbit, kyaraben, tako-san_wiener"
food_in_mouth,"lollipop_in_mouth, pocky_in_mouth, popsicle_in_mouth, pretz_in_mouth, toast_in_mouth"
food_insertion,"food, object_insertion"
food_on_body,"chocolate_on_body, food_on_breasts, food_on_legs, food_on_pectorals, food_on_penis"
food_on_breasts,"breasts, food_on_body"
food_on_face,"food, chocolate_on_face, cream_on_face, ice_cream_on_face, rice_on_face"
food_on_head,"on_head, food, object_on_head, cake_on_head, fruit_on_head"
food_print,"cake_print, candy_print, carrot_print, cheese_print, chocolate_print, cookie_print, donut_print, fruit_print, ice_cream_print, macaron_print, mushroom_print, onigiri_print, pizza_print"
food_stand,"ice_cream_stand, yatai"
foot_kabedon,kabedon
foot_tattoo,tattoo
footjob,"cooperative_footjob, double_footjob, footjob_from_behind, footjob_through_footwear, footjob_with_legwear, reverse_footjob, two-footed_footjob"
footjob_with_boots,"boots, footjob_with_footwear"
footjob_with_footwear,"footjob_with_boots, footjob_with_sandals, footjob_with_shoes"
footjob_with_sandals,"footjob_with_footwear, sandals"
footjob_with_shoes,"footjob_with_footwear, shoes"
footprint_on_body,footprint_on_face
footwear_flower,flower
forceps,holding_forceps
ford_crown_victoria,"ford_crown_victoria_(1st_generation), ford_crown_victoria_(2nd_generation)"
ford_mustang,"ford_mustang_(1st_generation), ford_mustang_s197, ford_mustang_s550, ford_mustang_s650, ford_mustang_sn95, shelby_gt500"
foregrip,"angled_foregrip, vertical_foregrip"
forehead,"bandaid_on_forehead, blood_from_forehead, hand_on_own_forehead, scar_on_forehead, forehead_protector, forehead_tattoo"
forehead_tattoo,"tattoo, forehead"
foreskin,"foreskin_insertion, foreskin_pull, phimosis"
forest,"nature, bamboo_forest"
forest_for_the_flames_(e.g.o),e.g.o_(project_moon)
forget-me-not_(flower),flower
four-leaf_clover,"clover, four-leaf_clover_earrings"
four-leaf_clover_earrings,"earrings, four-leaf_clover"
fox_cub,"baby_animal, fox"
fox_ear_headphones,"animal_ear_headphones, fox_ears"
fox_ears,"animal_ears, cat_ears, fox_ear_headphones"
fox_shadow_puppet,"double_fox_shadow_puppet, fox_shadow_puppet_kiss"
fp-45_liberator,handgun
fragments_from_somewhere_(e.g.o),e.g.o_(project_moon)
freesia_(flower),flower
french_cruller,"donut, angel_french, sakura_french, strawberry_whip_french"
french_flag_print,"flag_print, french_flag"
french_fries,food
french_horn,instrument
fretless_instrument,"fretless_bass_guitar, fretless_guitar"
fried_egg_on_toast,"fried_egg, toast"
fried_rice,food
friend_ball,poke_ball
frilled_apron,"apron, frills"
frilled_arm_warmers,"arm_warmers, frills"
frilled_armband,"armband, frills"
frilled_ascot,"ascot, frills"
frilled_bikini,"bikini, frills"
frilled_bonnet,"bonnet, frills"
frilled_boots,"boots, frills"
frilled_bow,"bow, frills"
frilled_bra,"bra, frills"
frilled_bustier,"bustier, frills"
frilled_camisole,"camisole, frills"
frilled_capelet,"capelet, frills"
frilled_choker,"choker, frills"
frilled_coat,"coat, frills"
frilled_collar,"collar, frills"
frilled_corset,"corset, frills"
frilled_dress,"dress, frills"
frilled_eyepatch,"eyepatch, frills"
frilled_gloves,"gloves, frills"
frilled_hair_tubes,"hair_tubes, frills"
frilled_hairband,"hairband, frills"
frilled_hat,"hat, frills"
frilled_hiphighs,"frills, hiphighs"
frilled_hood,"frills, hood"
frilled_innertube,"frills, innertube"
frilled_jacket,"jacket, frills"
frilled_kimono,"kimono, frills"
frilled_leotard,"leotard, frills"
frilled_one-piece_swimsuit,"swimsuit, one-piece_swimsuit, frills"
frilled_pajamas,"frills, pajamas"
frilled_panties,"panties, frills"
frilled_pants,"frills, pants"
frilled_pillow,"frills, pillow"
frilled_ribbon,"ribbon, frills"
frilled_sailor_collar,"collar, frills, sailor_collar"
frilled_shawl,"shawl, frills"
frilled_shirt,"shirt, frills"
frilled_shirt_collar,"collar, frills"
frilled_shorts,"shorts, frills"
frilled_skirt,"skirt, frills"
frilled_socks,"socks, frills"
frilled_tabard,"frills, tabard"
frilled_thighhighs,"thighhighs, frills"
frilled_tube_top,"frills, tube_top"
frilled_umbrella,"frills, umbrella"
frilled_vest,"vest, frills"
frilled_wrist_cuffs,"cuffs, frills, wrist_cuffs"
frills,"center_frills, too_many_frills, frilled_apron, frilled_bikini, frilled_bow, frilled_bra, frilled_choker, frilled_collar, frilled_dress, frilled_hair_tubes, frilled_hairband, frilled_shirt, frilled_shirt_collar, frilled_skirt, frilled_sleeves, frilled_thighhighs"
frog_print,"animal_print, frog_print_panties"
frog_print_panties,"frog_print, print_panties"
frogmouth,bird
from_below,worm's_eye_view
front-tie_bikini_top,"bikini, front-tie_top"
front_braid,braid
frost_shard_(e.g.o),e.g.o_(project_moon)
fruit,"food, apple, banana, blueberry, cherry, fruit_on_head, grapes, holding_fruit, kiwi_(fruit), lemon, mandarin_orange, melon, peach, pineapple, strawberry, watermelon"
fruit_background,"food-themed_background, cherry_background, strawberry_background"
fruit_on_head,"on_head, food_on_head, fruit, apple_on_head"
fruit_print,"food_print, apple_print, banana_print, cherry_print, grape_print, lemon_print, orange_print, peach_print, strawberry_print, watermelon_print"
fruit_tart,"tart_(food), blueberry_tart, strawberry_tart"
fuchsia_city,city
fundoshi,"japanese_clothes, black_fundoshi, blue_fundoshi, fundoshi_aside, fundoshi_pull, fundoshi_under_pantyhose, green_fundoshi, orange_fundoshi, pink_fundoshi, red_fundoshi, wet_fundoshi"
fundoshi_aside,"clothing_aside, fundoshi"
fundoshi_under_pantyhose,"fundoshi, pantyhose"
funeral_dress,dress
funeral_kimono,kimono
fur-trimmed_arm_warmers,"arm_warmers, fur_trim"
fur-trimmed_armor,"armor, fur_trim"
fur-trimmed_bikini,"bikini, fur_trim"
fur-trimmed_boots,"boots, fur_trim"
fur-trimmed_bra,"bra, fur_trim"
fur-trimmed_cape,"cape, fur_trim"
fur-trimmed_capelet,"capelet, fur_trim"
fur-trimmed_cardigan,"cardigan, fur_trim"
fur-trimmed_choker,"choker, fur_trim"
fur-trimmed_cloak,"cloak, fur_trim"
fur-trimmed_coat,"coat, fur_trim"
fur-trimmed_collar,"collar, fur_trim"
fur-trimmed_dress,"dress, fur_trim"
fur-trimmed_gloves,"gloves, fur_trim"
fur-trimmed_hairband,fur_trim
fur-trimmed_hood,"hood, fur_trim"
fur-trimmed_hoodie,"fur_trim, hoodie"
fur-trimmed_jacket,"jacket, fur_trim"
fur-trimmed_jumpsuit,"fur_trim, jumpsuit"
fur-trimmed_kimono,"kimono, fur_trim"
fur-trimmed_legwear,fur_trim
fur-trimmed_leotard,"leotard, fur_trim"
fur-trimmed_mittens,"mittens, fur_trim"
fur-trimmed_pajamas,"fur_trim, pajamas"
fur-trimmed_panties,"fur_trim, panties"
fur-trimmed_pants,"fur_trim, pants"
fur-trimmed_robe,"robe, fur_trim"
fur-trimmed_scarf,"fur_trim, scarf"
fur-trimmed_shawl,"fur_trim, shawl"
fur-trimmed_shirt,"shirt, fur_trim"
fur-trimmed_shorts,"shorts, fur_trim"
fur-trimmed_skirt,"skirt, fur_trim"
fur-trimmed_sweater,"fur_trim, sweater"
fur-trimmed_thighhighs,"thighhighs, fur_trim"
fur-trimmed_tube_top,"fur_trim, tube_top"
fur-trimmed_vest,"vest, fur_trim"
fur-trimmed_waist_cape,"fur_trim, waist_cape"
fur_boots,"boots, ugg_boots"
fur_hat,"hat, papakha"
fur_trim,"fur-trimmed_boots, fur-trimmed_cape, fur-trimmed_capelet, fur-trimmed_cloak, fur-trimmed_coat, fur-trimmed_collar, fur-trimmed_dress, fur-trimmed_gloves, fur-trimmed_headwear, fur-trimmed_hood, fur-trimmed_jacket, fur-trimmed_kimono, fur-trimmed_shorts, fur-trimmed_skirt, fur-trimmed_sleeves"
fur_wrist_cuffs,"cuffs, wrist_cuffs"
furigana,nonstandard_furigana
furry,"furry_with_furry, furry_female, furry_male, furrification, furry_with_non-furry"
furry_with_non-furry,"furry, interspecies"
fusion,"chimerism, hexafusion"
futa_with_female,"futanari, fdd_threesome, female_on_futa, ffd_threesome, newhalf_with_female"
futa_with_futa,"futanari, ddd_threesome, futa_with_newhalf, newhalf_with_newhalf"
futa_with_male,"futanari, futa_on_male, male_on_futa, mdd_threesome, mmd_threesome, newhalf_with_male"
futa_with_newhalf,"futa_with_futa, futa_without_pussy"
futa_without_balls,"futanari, no_testicles"
futa_without_pussy,"pussy, futanari, futa_with_newhalf, newhalf_with_female, newhalf_with_male"
futanari,"full-package_futanari, futa_with_female, futa_with_futa, futa_with_male, futa_without_balls, futa_without_pussy, futanari_masturbation, futanari_pov, futasub, intravaginal_futanari, mfd_threesome"
futanari_masturbation,"futanari, masturbation"
futanari_pov,"futanari, pov"
futhark,runes
gacha_(game_mechanic),gacha_suffering
gag,"ball_gag, bit_gag, dildo_gag, improvised_gag, linked_gag, panel_gag, plug_gag, ring_gag, unworn_gag, wiffle_gag"
gagged,"cleave_gag, clothes_gag, hand_gagged, over_the_mouth_gag, over_the_nose_gag"
gakuseibou,hat
game_boy,"handheld_game_console, game_boy_(original), game_boy_color, game_boy_pocket"
game_boy_advance,"handheld_game_console, game_boy_advance_(original), game_boy_advance_sp, game_boy_micro"
game_console,"famicom, gamecube, nintendo_64, playstation_1, playstation_2, playstation_3, playstation_4, playstation_5, sega_dreamcast, sega_mega_drive, sega_saturn, super_famicom, wii, wii_u, xbox_360"
game_controller,"controller, arcade_stick, dreamcast_controller, dualshock, famicom_controller, gamecube_controller, holding_game_controller, joy-con, nes_controller, nintendo_64_controller, nintendo_switch_pro_controller, playstation_controller, super_famicom_controller, wii_remote, wii_u_gamepad, xbox_controller"
game_screenshot_background,screenshot_background
gameplay_ability,gameplay_mechanics
garden_of_thorns_(e.g.o),e.g.o_(project_moon)
garrison_cap,hat
garter_belt,"belt, lace-trimmed_garter_belt, panties_over_garter_belt, black_garter_belt, o-ring_garter_belt, white_garter_belt"
garter_straps,"black_garter_straps, blue_garter_straps, brown_garter_straps, green_garter_straps, grey_garter_straps, o-ring_garter_straps, orange_garter_straps, pink_garter_straps, purple_garter_straps, red_garter_straps, single_garter_strap, white_garter_straps, yellow_garter_straps"
gat_(hat),hat
gathers,frills
gatling_gun,"gau-8, m134_minigun, minigun"
gauntlets,"bridal_gauntlets, clawed_gauntlets, gloves, mittens, spiked_gauntlets, single_gauntlet"
gauze,"gauze_on_cheek, gauze_on_face, gauze_on_leg, gauze_over_eye"
gauze_on_face,"gauze, gauze_on_forehead"
gauze_on_leg,"gauze, gauze_on_thigh"
gaze_(e.g.o),e.g.o_(project_moon)
gazelle_ears,animal_ears
gear_fourth,"gear_fourth:_boundman, gear_fourth:_snakeman"
gelatin,food
gem,"glowing_gem, heart-shaped_gem, gem_(steven_universe), gem_(symbol), soul_gem_(madoka_magica), amber_(gemstone), aqua_gem, black_gem, blue_gem, green_gem, grey_gem, holding_gem, multicolored_gem, orange_gem, pearl, pink_gem, purple_gem, red_gem, white_gem, yellow_gem"
gender_transitioning,"gender_transitioning_(ftm), gender_transitioning_(mtf)"
genderswap,"recursive_genderswap, genderswap_(ftm), genderswap_(mtf), genderswap_(otf), genderswap_(otm), fully_genderswapped_group"
genderswap_(otf),"genderswap, double_other_genderswap"
genderswap_(otm),"genderswap, double_other_genderswap"
gentiana_(flower),flower
german_clothes,"dirndl, lederhosen"
german_flag_print,"flag_print, german_flag"
german_suplex,suplex
geta,tengu-geta
gewehr_43,rifle
ghost,"giving_up_the_ghost, sheet_ghost, ghost_type_theme_(pokemon)"
ghost_earrings,earrings
ghost_hat_ornament,hat_ornament
giant,"giant_male, giant_monster, giantess"
giant_monster,"monster, giant"
giant_snake,"snake, oversized_animal"
giant_sperm_cell,sperm_cell
gift,"christmas_present, gift_box, holding_gift"
gift_box,"box, gift"
gimp_mask,mask
gingerbread_man_hair_ornament,food-themed_hair_ornament
gingham_apron,"apron, gingham_clothes"
gingham_bikini,"bikini, gingham_clothes"
gingham_bow,bow
gingham_clothes,"gingham_apron, gingham_bikini, gingham_dress, gingham_necktie, gingham_pajamas, gingham_skirt"
gingham_dress,"dress, gingham_clothes"
gingham_necktie,"gingham_clothes, necktie"
gingham_pajamas,"gingham_clothes, pajamas"
gingham_skirt,"gingham_clothes, skirt"
giraffe_ears,animal_ears
giraffe_tail,tail
gladius,sword
glass_shard,holding_glass_shard
glasses,"3d_glasses, coke-bottle_glasses, opaque_glasses, partially_opaque_glasses, safety_glasses, sunglasses, teardrop-framed_glasses, bespectacled"
glitch_censor,"censored, glitch"
glitter_dress,dress
glory_wall,through_wall
glove_cutout,clothing_cutout
glove_in_mouth,"gloves, mouth_hold"
gloved_handjob,"gloves, handjob"
gloves,"mittens, adjusting_gloves, asymmetrical_gloves, elbow_gloves, fingerless_gloves, gauntlets, blood_on_gloves, boxing_gloves, cow_print_gloves, fishnet_gloves, fold-over_gloves, frilled_gloves, fur-trimmed_gloves, half_gloves, lace-trimmed_gloves, lace_gloves, latex_gloves, layered_gloves, leather_gloves, metal_gloves, mismatched_gloves, mma_gloves, no_gloves, partially_fingerless_gloves, paw_gloves, print_gloves, putting_on_gloves, ribbon-trimmed_gloves, rubber_gloves, see-through_gloves, spiked_gloves, striped_gloves, studded_gloves, torn_gloves, two-sided_gloves, under-elbow_gloves, uneven_gloves, unworn_gloves, vertical-striped_gloves, gloved_handjob, single_glove"
glowing,"bioluminescence, glowing_earrings, glowing_eye, glowing_eyes, glowing_hair, glowing_halo, glowing_hand, glowing_penis, glowing_petals, glowing_tattoo, glowing_weapon, glowing_wings"
glowing_armor,armor
glowing_earrings,"earrings, glowing"
glowing_halo,"halo, glowing"
glowing_penis,"glowing, penis"
glowing_petals,"glowing, petals"
glowing_tattoo,"tattoo, glowing"
glowing_weapon,"glowing, weapon, glowing_sword"
glowing_wings,"wings, glowing"
glowstick,"holding_glowstick, penlight_(glowstick)"
goat_ears,animal_ears
goatee,"goatee_stubble, facial_hair"
goatee_stubble,"stubble, goatee"
goggles,"adjusting_goggles, aviator_goggles, ski_goggles, swim_goggles, unworn_goggles, diving_mask, goggles_around_neck, goggles_on_head, goggles_on_headwear, holding_goggles"
goggles_on_head,"on_head, goggles, diving_mask_on_head"
gohei,"holding_gohei, oonusa"
gold_apron,apron
gold_armband,armband
gold_armor,armor
gold_ascot,ascot
gold_aura,aura
gold_babydoll,babydoll
gold_bandana,bandana
gold_bandeau,bandeau
gold_bangle,bangle
gold_beads,beads
gold_bell,bell
gold_belt,belt
gold_bikini,bikini
gold_block_(mario),block_(mario)
gold_bodice,bodice
gold_bodysuit,bodysuit
gold_boots,boots
gold_border,border
gold_bottle_cap_(pokemon),bottle_cap_(pokemon)
gold_bow,bow
gold_bowtie,bowtie
gold_bra,bra
gold_bracer,bracer
gold_bridal_gauntlets,bridal_gauntlets
gold_buckle,buckle
gold_buruma,buruma
gold_cape,cape
gold_capelet,capelet
gold_car,car
gold_card,card
gold_choker,choker
gold_circle,circle
gold_claws,claws
gold_cloak,cloak
gold_collar,collar
gold_corset,corset
gold_cross,cross
gold_cup,cup
gold_cutlery,cutlery
gold_dress,dress
gold_earrings,earrings
gold_embroidery,embroidery
gold_eyeshadow,eyeshadow
gold_feet,feet
gold_fire,fire
gold_flower,flower
gold_fork,fork
gold_garter_belt,garter_belt
gold_garter_straps,garter_straps
gold_gauntlets,gauntlets
gold_gloves,gloves
gold_gorget,gorget
gold_greaves,greaves
gold_hair_tie,hair_tie
gold_hairband,hairband
gold_halo,halo
gold_hat,hat
